Type,Name,Description,Plane
Creature,Adorned Pouncer,A double-striking cat that can be eternalized to become even more powerful later in the game.,
Creature,Aetherling,A shapeshifter that can blink itself out of existence temporarily to dodge spells and abilities.,
Creature,Archangel of Thune,An angel that grows your creatures whenever you gain life.,
Creature,Avacyn Angel of Hope,A powerful angel that makes all of your permanents indestructible.,
Creature,Avenger of Zendikar,A creature that creates plant tokens and boosts their power when lands enter the battlefield.,
Creature,Baleful Strix,A flying artifact bird with deathtouch that draws a card when it enters the battlefield.,
Creature,Baneslayer Angel,A flying lifelink angel that devastates demons and dragons.,
Creature,Birds of Paradise,A bird that provides mana of any color.,
Creature,Blightsteel Colossus,A massive golem with infect and trample that devastates any opponent.,
Creature,Bloodbraid Elf,A hasty elf with the cascade ability that lets you cast an additional spell for free.,
Creature,Chameleon Colossus,A changeling that has protection from black and doubles its power with a green mana ability.,
Creature,Consecrated Sphinx,A sphinx that draws extra cards whenever an opponent draws a card.,
Creature,Craterhoof Behemoth,A massive beast that boosts the power and toughness of all your creatures and grants them trample.,
Creature,Dark Confidant,A human wizard who trades life for extra cards drawn.,
Creature,Deathrite Shaman,A shaman that can exile cards from graveyards for various effects including mana generation life drain or life gain,
Creature,Delver of Secrets,A human wizard that transforms into a powerful insectile aberration if a spell is revealed from the top of your library.,
Creature,Eidolon of the Great Revel,A spirit that punishes players for casting spells with mana cost 3 or less.,
Creature,Emrakul the Aeons Torn,A massive Eldrazi titan that reshapes reality with its presence.,
Creature,Emrakul the Promised End,A massive Eldrazi titan that reshapes reality and takes control of an opponent’s turn.,
Creature,Eternal Witness,A human shaman who retrieves any card from the graveyard when it enters the battlefield.,
Creature,Finks,Resilient hybrid creature that gains you life and comes back to life with persist.,
Creature,Frost Titan,A giant that taps creatures or lands and makes it difficult for opponents to untap them.,
Creature,Fulminator Mage,A creature that can sacrifice itself to destroy a nonbasic land.,
Creature,Gaddock Teeg,A kithkin who restricts powerful spells from being cast by opponents.,
Creature,Glen Elendra Archmage,A faerie wizard that can counter noncreature spells and returns to the battlefield thanks to persist.,
Creature,Goblin Guide,A hasty goblin that attacks and scouts the enemy’s deck.,
Creature,Griselbrand,A powerful demon who exacts a heavy price for his aid.,
Creature,Inferno Titan,A giant that deals damage when it enters the battlefield or attacks and can pump itself with red mana.,
Creature,Kalonian Hydra,A hydra that doubles the number of +1/+1 counters on all of your creatures whenever it attacks.,
Creature,Karn Silver Golem,A massive artifact golem who turns artifacts into creatures for battle.,
Creature,Kira Great Glass-Spinner,A spirit that protects your creatures by countering the first spell or ability that targets them each turn.,
Creature,Kitchen Finks,A resilient creature with lifegain that returns to the battlefield thanks to persist.,
Creature,Knight Exemplar,A knight that gives all other knights indestructibility and boosts their power and toughness.,
Creature,Knight of the Reliquary,A knight who becomes stronger based on lands in the graveyard.,
Creature,Krenko Mob Boss,A goblin that creates more goblins equal to the number of goblins you control every turn.,
Creature,Llanowar Elves,Mana-producing elves from Llanowar.,
Creature,Lotleth Troll,A regenerating troll that grows stronger by discarding creatures and gains trample.,
Creature,Master of the Wild Hunt,A human warrior that summons wolves and directs them to fight other creatures.,
Creature,Master of Waves,A merfolk wizard that creates a number of elemental tokens based on your devotion to blue.,
Creature,Olivia Voldaren,A vampire that can deal damage to other creatures,
Creature,Omnath Locus of Rage,A mighty elemental that creates 5/5 elementals whenever a land enters the battlefield.,
Creature,Oracle of Mul Daya,A shaman that allows you to play additional lands and reveals the top card of your library.,
Creature,Phyrexian Metamorph,A shapeshifter that can copy any artifact or creature on the battlefield.,
Creature,Phyrexian Obliterator,A terrifying avatar of Phyrexia that punishes any who deal damage to it.,
Creature,Primeval Titan,A giant who summons additional lands whenever it attacks or enters the battlefield.,
Creature,Reclamation Sage,A shaman that destroys artifacts or enchantments when it enters the battlefield.,
Creature,Sakura-Tribe Elder,A snake that sacrifices itself to find a basic land card from your library and put it onto the battlefield.,
Creature,Scavenging Ooze,A green ooze that devours creatures from graveyards,
Creature,Serra Angel,A majestic and powerful angel from Serra’s realm,
Creature,Shivan Dragon,A fierce fire-breathing dragon from the mountains of Shiv.,
Creature,Siege Rhino,A massive rhino that drains opponents’ life when it enters the battlefield and has trample.,
Creature,Sliver Queen,A legendary Sliver that spawns more Slivers to overwhelm opponents.,
Creature,Snapcaster Mage,A human wizard that allows players to cast spells from their graveyard.,
Creature,Solemn Simulacrum,A golem that searches for a land and draws a card when it dies.,
Creature,Spellskite,A Phyrexian horror that redirects spells and abilities to itself by paying life or mana.,
Creature,Stormbreath Dragon,A hasty dragon with protection from white and a monstrous ability that deals damage.,
Creature,Sun Titan,A giant that returns permanents with a low mana cost from the graveyard when it attacks or enters the battlefield.,
Creature,Sunblast Angel,A flying angel that destroys all tapped creatures when it enters the battlefield.,
Creature,Tarmogoyf,A creature that grows stronger with the number of card types in all graveyards.,
Creature,Tasigur the Golden Fang,A legendary Sultai naga who manipulates the graveyard and draws cards.,
Creature,Thalia Guardian of Thraben,A protector against spells and creatures standing against darkness.,
Creature,Thragtusk,A beast that provides life when it enters the battlefield and creates a beast when it leaves.,
Creature,Thrun the Last Troll,A regenerating troll that can’t be countered and has hexproof.,
Creature,True-Name Nemesis,A merfolk that chooses an opponent and gains protection from them permanently.,
Creature,Venser Shaper Savant,A wizard that returns any spell or permanent to its owner’s hand when it enters the battlefield.,
Creature,Vorinclex Monstrous Raider,A Phyrexian Praetor that doubles counters on your permanents and halves counters on your opponent’s.,
Creature,Vorinclex Voice of Hunger,A Phyrexian praetor that punishes opponents for using lands while doubling your own mana output.,
Creature,Wurmcoil Engine,A destructive wurm that creates two smaller wurms when it dies.,
Creature,Wurmcoil Engine,A destructive wurm that splits into two smaller creatures when it dies.,
Creature,Zurgo Helmsmasher,A hasty warrior that grows stronger as it destroys creatures and can’t be destroyed by damage.,
Planeswalker,Ajani Goldmane,A leonin planeswalker focused on healing and justice.,
Planeswalker,Angrath,A minotaur planeswalker who fights for his freedom from his home plane's magical constraints.,
Planeswalker,Arlinn Kord,A werewolf planeswalker struggling to balance her dual nature.,
Planeswalker,Ashiok,A nightmare planeswalker who thrives on fear and dreams.,
